# Wes Sander, MoltFire
pglib_opf_case118_ieee: AC-OPF objective 97213.115094 $/h (verified feasible at 1e-06 pu)

gen  bus  Pg[MW]  Qg[MVAr]
  0    1     0.0001    15.0001
  1    4     0.0001    71.0657
  2    6     0.0001    46.7085
  3    8     0.0001    -4.8694
  4   10   505.0001   -86.3238
  5   12    -0.0001    43.0001
  6   15     0.0001    30.0001
  7   18     0.0001    41.3905
  8   19     0.0001    24.0001
  9   24     0.0001     9.2675
 10   25    77.9543   -47.0001
 11   26   485.0001    -6.1321
 12   27     0.0001    32.0969
 13   31    17.0001     9.0001
 14   32     0.0001    35.8356
 15   34     0.0001     8.2077
 16   36     0.0001    23.9997
 17   40     0.0001    38.7043
 18   42     0.0001    22.2988
 19   46    20.0001    -0.5443
 20   49   223.0001   -85.0001
 21   54    53.0001    27.0001
 22   55     0.0001    23.0001
 23   56     0.0001    15.0001
 24   59   308.0001   108.7631
 25   61   195.0001   -11.2486
 26   62     0.0001     1.5003
 27   65    -0.0001   200.0001
 28   66    -0.0001   -67.0001
 29   69   831.9795  -256.0942
 30   70     0.0001    32.0001
 31   72     0.0001    -3.0416
 32   73     0.0001     1.3286
 33   74     0.0001     9.0001
 34   76     0.0001    23.0001
 35   77     0.0001    70.0001
 36   80   509.0001   -28.5176
 37   85     0.0001    23.0001
 38   87    -0.0001     5.0001
 39   89   471.4591    -8.7613
 40   90     0.0001    45.9737
 41   91     0.0001     1.8171
 42   92     0.0001     9.0001
 43   99     0.0001     7.5291
 44  100   653.0001     8.8969
 45  103    31.2753     9.9363
 46  104     0.0001    23.0001
 47  105     0.0001    23.0001
 48  107     0.0001    12.1804
 49  110     0.0001    23.0001
 50  111    -0.0001     2.9167
 51  112     0.0001    16.2427
 52  113     0.0001    -2.7948
 53  116     0.0001   281.9479

bus  Vm[pu]  Va[deg]
   1  1.02241  -25.5583
   2  1.02928  -25.1899
   3  1.03027  -24.6091
   4  1.06000  -20.8089
   5  1.05807  -20.2792
   6  1.05194  -23.2785
   7  1.04734  -23.8211
   8  1.04597  -14.8691
   9  1.06000   -7.0322
  10  1.05560    1.3477
  11  1.04046  -23.5627
  12  1.04135  -24.3766
  13  1.02972  -24.6175
  14  1.04197  -24.7263
  15  1.04670  -24.1675
  16  1.03997  -24.1551
  17  1.06000  -21.4938
  18  1.05105  -23.6985
  19  1.04608  -24.2851
  20  1.03367  -23.1255
  21  1.02866  -21.4486
  22  1.03258  -18.8601
  23  1.05031  -13.8878
  24  1.05204  -13.3339
  25  1.06000   -7.7423
  26  1.02833   -3.7133
  27  1.04154  -19.6270
  28  1.03237  -21.0238
  29  1.02998  -21.7711
  30  1.03035  -16.6520
  31  1.03208  -21.6201
  32  1.04185  -20.1124
  33  1.04514  -24.8521
  34  1.05647  -24.4837
  35  1.05445  -24.8966
  36  1.05482  -24.9080
  37  1.06000  -24.0456
  38  1.01848  -19.3101
  39  1.02719  -27.1924
  40  1.01950  -28.2529
  41  1.00789  -28.6981
  42  1.00119  -27.2883
  43  1.02753  -24.6651
  44  1.00033  -22.5306
  45  0.98910  -20.8010
  46  0.99964  -17.7692
  47  1.00391  -14.9914
  48  1.00749  -16.7182
  49  1.00986  -15.7993
  50  1.00432  -17.5753
  51  0.99311  -19.7685
  52  0.98894  -20.5917
  53  0.99270  -21.2071
  54  1.01121  -20.1585
  55  1.01271  -20.3536
  56  1.01152  -20.2218
  57  1.00580  -19.4969
  58  0.99882  -20.2398
  59  1.06000  -15.1783
  60  1.05752  -13.5177
  61  1.06000  -12.7118
  62  1.05410  -13.9884
  63  1.03507  -13.3925
  64  1.04460  -12.4517
  65  1.05146  -10.7124
  66  1.06000  -13.6696
  67  1.05201  -14.5777
  68  1.04950   -6.9799
  69  1.03752    0.0000
  70  1.01800   -8.4159
  71  1.02157   -9.0973
  72  1.03447  -11.7823
  73  1.02192   -9.2560
  74  0.99543   -8.6845
  75  0.99884   -7.2053
  76  0.98439   -7.8366
  77  1.03192   -2.1711
  78  1.02784   -2.4125
  79  1.03034   -2.0468
  80  1.05084    0.3614
  81  1.02958   -4.2040
  82  1.02637   -0.1041
  83  1.03007    0.7668
  84  1.03627    2.6838
  85  1.04602    3.8936
  86  1.04015    2.5089
  87  1.05485    2.3985
  88  1.04578    6.6730
  89  1.06000   10.3019
  90  1.04115    5.1274
  91  1.04500    5.7301
  92  1.04931    7.4012
  93  1.03655    5.8931
  94  1.03196    4.9825
  95  1.01818    3.0084
  96  1.02455    1.4871
  97  1.03319    0.5983
  98  1.04386    2.4714
  99  1.05602    5.2546
 100  1.06000    9.0260
 101  1.04347    7.5432
 102  1.04676    7.3534
 103  1.04145    4.8860
 104  1.03532    2.0468
 105  1.03300    0.8282
 106  1.02699    0.8446
 107  1.02621   -1.8093
 108  1.02447   -0.8084
 109  1.02139   -1.4524
 110  1.01705   -2.8564
 111  1.01998   -2.9045
 112  1.00338   -5.3889
 113  1.05730  -21.4008
 114  1.03719  -20.3931
 115  1.03678  -20.3991
 116  1.06000   -7.4147
 117  1.02629  -25.7700
 118  0.98588   -7.9308
