# Wes Sander, MoltFire
pglib_opf_case162_ieee_dtc: AC-OPF objective 108074.764395 $/h (verified feasible at 1e-06 pu)

gen  bus  Pg[MW]  Qg[MVAr]
  0    6   833.4522   339.6429
  1   73    38.3945    95.2590
  2   76  1127.0001  -110.5681
  3   99   138.7348    57.0320
  4  101    87.8978    38.6001
  5  108   599.0360    33.9988
  6  114   146.3249    33.0001
  7  118   173.2050   100.0001
  8  121   681.3587   232.7020
  9  125  2300.0486    49.9795
 10  130   572.7763    77.5323
 11  131   703.0869    98.8370

bus  Vm[pu]  Va[deg]
   1  1.06000    1.8252
   2  1.04380   -3.1129
   3  1.01341   -5.7097
   4  1.02288   -7.3063
   5  1.05741    3.0407
   6  1.04532    7.8658
   7  1.03676   -3.4510
   8  1.05661   -6.8111
   9  1.03640   -0.7804
  10  0.98840  -11.7052
  11  0.99686   -8.1505
  12  1.05936   -6.6562
  13  1.03977   -4.4926
  14  1.05348   -3.7150
  15  1.02024   -0.0815
  16  1.05369   -5.0660
  17  1.05775   -4.3969
  18  1.06000   -8.7907
  19  1.00191  -12.6309
  20  0.96831  -10.0376
  21  1.04670   -5.6226
  22  1.02911  -12.0738
  23  0.99450  -10.6019
  24  1.00311   -8.8557
  25  0.98830   -4.8354
  26  0.99291    3.3056
  27  0.99570   -5.7239
  28  0.98565  -11.5766
  29  0.98952  -13.2070
  30  1.01118  -14.7873
  31  0.98868  -12.3548
  32  1.01388  -15.9677
  33  0.99935  -17.8623
  34  0.99194  -17.7381
  35  0.98593  -19.1537
  36  0.99348  -18.1299
  37  0.99857   -5.5445
  38  1.01278  -12.5925
  39  0.97913   -7.5577
  40  0.99110  -16.5674
  41  0.99265  -14.5217
  42  0.98392   -7.0212
  43  0.98651   -9.9834
  44  0.98148  -10.4643
  45  0.98355  -11.9208
  46  0.98891  -14.6682
  47  0.97288  -16.6012
  48  0.97585  -14.4296
  49  0.97079  -16.9652
  50  0.97783  -12.9178
  51  0.98087  -11.5041
  52  1.01410  -13.4499
  53  0.98585   -7.7025
  54  0.97232  -13.7262
  55  0.98538   -7.5019
  56  0.97923  -16.0227
  57  0.97346  -13.4009
  58  1.01076   -4.5469
  59  0.98603   -9.1450
  60  1.00690   -9.7602
  61  0.99184   -7.2568
  62  1.02525    6.0789
  63  0.99454   -5.5042
  64  1.02919   -4.8818
  65  1.02984   -1.0938
  66  1.00149   -7.3321
  67  0.99142  -16.9005
  68  1.00259  -15.1594
  69  1.00878  -13.7448
  70  1.00231   -2.1046
  71  0.97326   -9.4588
  72  1.04053   -3.6001
  73  0.98301   -1.6472
  74  0.99878   -8.1419
  75  1.03306    1.6162
  76  0.94000    9.2162
  77  1.00117  -15.2995
  78  1.00992  -13.0960
  79  1.01940  -10.8697
  80  0.99154  -13.7013
  81  0.98814  -20.9674
  82  0.98839  -16.4959
  83  0.99059  -15.5219
  84  0.98285  -11.7934
  85  0.95447  -17.6092
  86  0.95284  -20.6340
  87  0.96228  -18.7765
  88  0.97335  -19.3956
  89  0.97333  -21.7253
  90  0.94426  -23.9891
  91  0.98501  -10.4799
  92  0.97557  -11.6636
  93  0.98683   -5.9956
  94  1.00474  -11.2275
  95  1.00788  -10.3820
  96  0.99062  -19.5312
  97  1.00041  -11.4379
  98  1.00457   -8.8872
  99  1.01297   -4.8824
 100  0.97811  -20.4467
 101  0.99773  -14.1142
 102  0.97706  -11.2684
 103  0.98951   -9.0297
 104  0.98534  -19.3615
 105  1.01746  -13.0475
 106  0.97862  -17.4226
 107  0.96253  -18.3387
 108  0.94000    0.0000
 109  0.99728   -7.2637
 110  1.04463   -2.2115
 111  1.01805   -6.8452
 112  1.04777    0.2929
 113  1.04118   -3.6373
 114  1.02339    4.0636
 115  1.01987   -9.7182
 116  1.02280  -11.1900
 117  1.01470  -11.7721
 118  1.01937   -8.2365
 119  1.00759   -9.1500
 120  1.04360   -0.0769
 121  1.03287    7.5079
 122  0.94646  -20.4387
 123  0.94000  -20.8573
 124  0.98885   -5.2321
 125  1.01947   -4.5284
 126  1.00995   -1.8088
 127  1.02136   -4.7703
 128  1.03910   -0.0877
 129  1.04526   -0.1783
 130  1.01945    9.3512
 131  1.04021    7.8132
 132  1.04534   -3.0897
 133  1.05195   -4.8300
 134  1.03940   -3.5377
 135  1.04880   -4.8740
 136  1.04221   -5.1340
 137  1.04585   -5.0954
 138  1.04809   -3.9499
 139  1.04324   -4.6998
 140  1.04535   -5.0228
 141  1.00817   -6.7577
 142  1.02128  -13.7004
 143  1.00626  -12.3395
 144  1.02686   -9.0091
 145  1.02948   -7.1394
 146  1.01013  -12.8391
 147  1.01017  -12.8285
 148  1.01192  -13.9147
 149  1.00167   -2.0795
 150  0.99960   -2.6830
 151  0.99105   -4.5984
 152  1.01792   -2.9524
 153  0.99500   -4.1762
 154  0.95764  -10.0103
 155  0.96681   -8.3174
 156  0.96169   -9.6502
 157  0.96825   -9.9612
 158  0.95362  -11.1481
 159  0.95264  -11.0755
 160  0.95442  -10.6251
 161  0.98758   -5.7581
 162  0.98601   -6.4462
