# Wes Sander, MoltFire
pglib_opf_case200_activ: AC-OPF objective 27557.407716 $/h (verified feasible at 1e-06 pu)

gen  bus  Pg[MW]  Qg[MVAr]
  0   49     1.3599     0.5269
  1   50     1.3599     0.6544
  2   51     1.3599     0.5284
  3   52     1.3599     0.6539
  4   53     2.7199     0.7014
  5   65    86.5001    -4.9703
  6   67     1.4099    -0.5701
  7   68     8.3799    -3.4101
  8   69     8.3799    -3.4101
  9   70     8.3799    -3.4101
 10   71     8.3799    -3.4101
 11   72     8.3799    -3.4101
 12   73     8.3799    -3.4101
 13   76     1.1999     0.5203
 14   77     0.7199     0.2551
 15   78     0.0000     0.0000
 16   79     0.0000     0.0000
 17   90     0.9599    -0.3601
 18   91     1.4999    -0.5501
 19   92     0.0000     0.0000
 20   94     5.3999    -2.2001
 21  104    67.6001     0.8019
 22  105   154.8001     6.4443
 23  114     1.4001     0.3059
 24  115   133.5001    23.6093
 25  125    39.0199     6.3902
 26  126    39.0199    16.1449
 27  127    39.0199    22.9783
 28  135   133.9199    26.6614
 29  136   133.9199    25.7217
 30  147    92.4001    11.1146
 31  151     1.6199    -0.6407
 32  152    23.1699    -5.3361
 33  153    23.1699    -1.8691
 34  154    23.1699    -5.5300
 35  155    23.1699    -5.5456
 36  161     0.0000     0.0000
 37  164     0.0000     0.0000
 38  165     0.0000     0.0000
 39  166     0.0000     0.0000
 40  167     2.8199    -1.0401
 41  168     0.0000     0.0000
 42  169     0.0000     0.0000
 43  170     2.8199    -1.0401
 44  182     5.2499     0.8824
 45  183     7.9799     1.9876
 46  189   383.3876   -46.6701
 47  196     0.0000     0.0000
 48  197     0.0000     0.0000

bus  Vm[pu]  Va[deg]
   1  1.07262   -6.5554
   2  1.07251   -6.5670
   3  1.06510   -9.2074
   4  1.06507   -9.2101
   5  1.07482   -3.1954
   6  1.07470   -3.2078
   7  1.06703   -7.1941
   8  1.06669   -7.2301
   9  1.06954   -6.9048
  10  1.06885   -6.9860
  11  1.08181   -6.9587
  12  1.08181   -6.9591
  13  1.08177   -6.9629
  14  1.08185   -5.7172
  15  1.08610   -6.5154
  16  1.08550   -6.5816
  17  1.07117   -7.6627
  18  1.07116   -7.6641
  19  1.07116   -7.6638
  20  1.07115   -7.6645
  21  1.07109   -7.6714
  22  1.07863   -7.3325
  23  1.07861   -7.3346
  24  1.07859   -7.3359
  25  1.08071   -3.6266
  26  1.08069   -3.6285
  27  1.08012   -7.2927
  28  1.08008   -7.2971
  29  1.07172   -6.5282
  30  1.07085   -6.6148
  31  1.07316   -5.4077
  32  1.07315   -5.4087
  33  1.07306   -5.4189
  34  1.06619   -8.5426
  35  1.06588   -8.5793
  36  1.07937   -5.7343
  37  1.07932   -5.7399
  38  1.07891   -5.7830
  39  1.06376   -9.6548
  40  1.06374   -9.6579
  41  1.09033   -7.3412
  42  1.06568  -10.1799
  43  1.06959   -5.9214
  44  1.06740   -9.5663
  45  1.08478   -1.9430
  46  1.08389   -2.6915
  47  1.07143   -7.4753
  48  1.07345   -3.7862
  49  1.07638   -3.4345
  50  1.07617   -3.5206
  51  1.07677   -3.3803
  52  1.07602   -3.5370
  53  1.07764   -3.0168
  54  1.07001   -7.7570
  55  1.08508   -2.1674
  56  1.08436   -2.5664
  57  1.06422   -9.6036
  58  1.08535   -5.5951
  59  1.07029   -7.0971
  60  1.07930   -6.0767
  61  1.08226   -2.8940
