# Wes Sander, MoltFire
pglib_opf_case30_ieee: AC-OPF objective 8208.347077 $/h (verified feasible at 1e-06 pu)

gen  bus  Pg[MW]  Qg[MVAr]
  0    1   218.8538     9.9196
  1    2    80.0411    25.0826
  2    5     0.0001    31.2722
  3    8     0.0001    40.0001
  4   11     0.0001    11.9975
  5   13     0.0001    10.5427

bus  Vm[pu]  Va[deg]
   1  1.06000    0.0000
   2  1.03570   -4.1084
   3  1.01476   -6.8530
   4  1.00414   -8.4451
   5  0.99592  -13.1206
   6  1.00125  -10.1560
   7  0.99117  -11.9131
   8  1.00196  -10.9346
   9  1.03646  -13.2675
  10  1.03193  -14.8995
  11  1.06000  -13.2675
  12  1.04608  -14.1921
  13  1.06000  -14.1921
  14  1.03084  -15.0982
  15  1.02600  -15.1816
  16  1.03238  -14.7559
  17  1.02700  -15.0773
  18  1.01579  -15.7935
  19  1.01292  -15.9614
  20  1.01689  -15.7544
  21  1.01954  -15.3551
  22  1.02013  -15.3410
  23  1.01508  -15.5671
  24  1.00901  -15.7287
  25  1.00586  -15.2934
  26  0.98797  -15.7229
  27  1.01255  -14.7577
  28  0.99780  -10.7954
  29  0.99248  -16.0143
  30  0.98087  -16.9169
