# Wes Sander, MoltFire
pglib_opf_case39_epri: AC-OPF objective 138415.419473 $/h (verified feasible at 1e-06 pu)

gen  bus  Pg[MW]  Qg[MVAr]
  0   30   889.0445   139.9999
  1   31   646.0001   300.0001
  2   32   725.0001   300.0001
  3   33   252.2602    67.5406
  4   34   508.0001   141.6039
  5   35   687.0001   223.3321
  6   36   580.0001    59.4795
  7   37    40.2394    -0.0001
  8   38   865.0001    47.0249
  9   39  1100.0001   -19.2529

bus  Vm[pu]  Va[deg]
   1  1.04211   -9.7881
   2  1.06000   -6.8404
   3  1.04843  -10.6862
   4  1.03641  -11.2606
   5  1.04456   -9.7099
   6  1.04856   -8.9956
   7  1.03625  -11.0122
   8  1.03422  -11.4696
   9  1.05124  -10.9056
  10  1.05954   -6.9385
  11  1.05462   -7.6469
  12  1.04200   -7.7785
  13  1.05404   -7.7893
  14  1.04514   -9.8258
  15  1.03709  -11.8435
  16  1.04777  -11.1867
  17  1.04841  -11.3474
  18  1.04720  -11.5110
  19  1.06000  -10.4608
  20  0.99709  -11.8401
  21  1.04478   -8.5914
  22  1.05988   -3.9784
  23  1.05254   -4.1761
  24  1.05197  -11.0000
  25  1.04575   -8.0369
  26  1.05635   -9.1348
  27  1.04686  -11.2916
  28  1.05870   -5.2631
  29  1.06000   -2.4241
  30  1.04687    1.7076
  31  1.03899    0.0000
  32  1.03812    1.1705
  33  1.00137   -8.4187
  34  1.01384   -6.6766
  35  1.06000    1.1639
  36  1.06000    3.9375
  37  1.02044   -7.5232
  38  1.03973    4.7652
  39  1.02632  -10.3315
