# Wes Sander, MoltFire
pglib_opf_case500_goc: AC-OPF objective 454943.568413 $/h (verified feasible at 1e-06 pu)

gen  bus  Pg[MW]  Qg[MVAr]
  0  272    46.9001    18.0101
  1  275     0.0000     0.0000
  2  276   888.2001    90.1849
  3  277    25.0001     9.6001
  4  277    25.0001     9.6001
  5  277    25.0001     9.6001
  6  277    25.0001     9.6001
  7  280   158.7001   -16.2171
  8  281     0.0000     0.0000
  9  284   217.3331    41.9392
 10  285   217.3331    39.9939
 11  286   217.3331    33.9478
 12  287     0.0000     0.0000
 13  288     0.0000     0.0000
 14  289   217.3331    43.9070
 15  292     0.5001     0.1078
 16  292     0.5001     0.1078
 17  294     0.0000     0.0000
 18  297   178.4671    52.3939
 19  298   178.4671    34.4792
 20  299     0.0000     0.0000
 21  300   178.4671    26.6989
 22  301     0.0000     0.0000
 23  302   178.4671    35.2552
 24  303    67.5001    25.9201
 25  303    67.5001    25.9201
 26  306     0.0000     0.0000
 27  306     7.0001    -0.7825
 28  307    33.7001    12.6957
 29  307    33.7001    12.6957
 30  307     0.0000     0.0000
 31  311     0.0000     0.0000
 32  312  1164.6671   181.8634
 33  313  1164.6671   188.8869
 34  316   332.6171    48.3391
 35  317     0.0000     0.0000
 36  318   332.6171    45.1326
 37  319   332.6171    57.6450
 38  320     0.0000     0.0000
 39  321     0.0000     0.0000
 40  324     0.0000     0.0000
 41  325   120.0001    14.6972
 42  326   120.0001    15.3622
 43  327     0.0000     0.0000
 44  328   120.0001    17.5048
 45  329   120.0001    17.1029
 46  330     1.0001     0.4661
 47  330     1.0001     0.4661
 48  330     1.0001     0.4661
 49  330     1.0001     0.4661
 50  334    69.0001    16.7274
 51  335     0.0000     0.0000
 52  338   234.8501    36.6815
 53  339   234.8501    50.2996
 54  340     0.0000     0.0000
 55  341   234.8501    42.5529
 56  343     0.0000     0.0000
 57  344   179.3331    -3.1530
 58  345     0.0000     0.0000
 59  346    48.5001     8.2901
 60  346    48.5001     8.2901
 61  347     0.0000     0.0000
 62  347    75.0001    20.2976
 63  347    75.0001    20.2976
 64  350    28.8001    11.0591
 65  351    28.8001    11.0591
 66  351    28.8001    11.0591
 67  351    28.8001    11.0591
 68  354   110.0001     8.8623
 69  356    30.3331     7.2538
 70  356    30.3331     7.2538
 71  356     0.0000     0.0000
 72  357    21.2001    -2.5861
 73  358    52.6501    17.9461
 74  358    52.6501    17.9461
 75  358    52.6501    17.9461
 76  358     0.0000     0.0000
 77  359     0.0000     0.0000
 78  359    27.6001    14.0481
 79  362   102.9810   100.7025
 80  363    78.1909    61.0671
 81  364     0.0000     0.0000
 82  365   286.1129    48.1924
 83  367    20.5001     5.5377
 84  368    20.5001     7.0951
 85  368     0.0000     0.0000
 86  369     0.0000     0.0000
 87  371   103.7812     6.1495
 88  372   133.8979     8.3373
 89  375    25.0001    -2.7751
 90  378   231.7751    22.1214
 91  379   202.5948    22.6788
 92  380   231.7751    26.6970
 93  381   231.7751    24.2601
 94  382     0.0000     0.0000
 95  382     7.4001    -0.3631
 96  382     7.4001    -0.3631
 97  382     7.4001    -0.3631
 98  384     0.0000     0.0000
 99  384    15.0001    -0.7351
100  384    15.0001    -0.7351
101  384    15.0001    -0.7351
102  386    67.3331    -2.3143
103  386    67.3331    -2.3143
104  386    67.3331    -2.3143
105  386    67.3331    -2.3143
106  386    67.3331    -2.3143
107  386     0.0000     0.0000
108  391   141.5001    13.4865
109  392     0.0000     0.0000
110  393     0.0000     0.0000
111  394     0.0000     0.0000
112  395    29.5001     4.1053
113  395    29.5001     4.1053
114  396    29.5001    11.3281
115  396    29.5001    11.3281
116  396    29.5001    11.3281
117  396    29.5001    11.3281
118  398    79.3331    25.3439
