# Wes Sander, MoltFire
pglib_opf_case57_ieee: AC-OPF objective 37589.114234 $/h (verified feasible at 1e-06 pu)

gen  bus  Pg[MW]  Qg[MVAr]
  0    1   245.0001    75.0928
  1    2     0.0001    50.0001
  2    3    60.0001    30.0001
  3    6     0.0001    12.6618
  4    8   860.3406   132.8911
  5    9     0.0001     9.0001
  6   12   139.8146   125.9890

bus  Vm[pu]  Va[deg]
   1  1.02609    0.0000
   2  1.01623    0.0260
   3  1.00947   -0.1167
   4  1.01002    0.9729
   5  1.01797    3.5892
   6  1.02786    5.2597
   7  1.03131    9.1434
   8  1.06000   15.0029
   9  0.99622    3.3054
  10  0.97955   -4.2574
  11  0.97869   -0.8360
  12  0.99653   -7.4357
  13  0.97722   -3.4449
  14  0.97189   -3.4708
  15  0.99311   -2.2311
  16  0.99778   -6.7298
  17  1.00363   -4.3057
  18  1.03017   -3.3446
  19  0.98903   -5.0681
  20  0.97589   -5.4819
  21  1.01508   -5.5645
  22  1.01456   -5.5623
  23  1.01383   -5.4488
  24  1.01698   -2.8017
  25  1.00214   -8.0884
  26  0.97297   -1.9606
  27  1.01572    2.7703
  28  1.03981    4.8960
  29  1.06000    6.2389
  30  0.98070   -8.8291
  31  0.95004  -10.0282
  32  0.95710  -10.0448
  33  0.95483  -10.0839
  34  0.96725   -6.7085
  35  0.97332   -6.5490
  36  0.98212   -6.3352
  37  0.99032   -6.2215
  38  1.01588   -5.7815
  39  0.98842   -6.2380
  40  0.97938   -6.3122
  41  1.00259   -5.1582
  42  0.97083   -6.8882
  43  1.01478   -2.1141
  44  1.01968   -5.3412
  45  1.03755   -3.6689
  46  1.06000   -4.9105
  47  1.03350   -5.9612
  48  1.02843   -5.9215
  49  1.03512   -6.2017
  50  1.02038   -6.5305
  51  1.04637   -5.3881
  52  1.02353    3.9528
  53  1.01066    2.8658
  54  1.02459    2.4959
  55  1.04812    2.5415
  56  0.97058   -7.7181
  57  0.96606   -8.4464
