# Wes Sander, MoltFire
pglib_opf_case588_sdet: AC-OPF objective 313139.782534 $/h (verified feasible at 1e-06 pu)

gen  bus  Pg[MW]  Qg[MVAr]
  0    3     0.0000     0.0000
  1    4   281.7400   168.3536
  2    9     0.0000     0.0000
  3   10    97.5000    20.5100
  4   15  -200.0000   -62.0000
  5   15  -200.0000   -62.0000
  6   15   179.0000   -75.0000
  7   16  -200.0000   -86.0482
  8   19    26.0000    32.0708
  9   20     0.0000     0.0000
 10   22     0.0000    -0.4383
 11   29     0.0000     1.7482
 12   30     0.0000    10.5791
 13   37     0.0000   -14.8119
 14   44   163.6786    -2.8243
 15   45     0.0000    49.2286
 16   49     0.0000     0.5620
 17   54     0.0000    13.9735
 18   54     0.0000     0.0000
 19   58   195.0668     8.8948
 20   60     0.0000    10.8854
 21   68     0.0000     0.0000
 22   69   172.1800  -352.6600
 23   74     0.0000     0.0000
 24   75    78.0800    24.7097
 25   80   179.0000    -7.9335
 26   80   165.7268    -7.9335
 27   80  -200.0000    -8.6309
 28   81   179.0000    67.1287
 29   84    26.0000    35.0000
 30   85     0.0000     0.0000
 31   87     0.0000     0.8270
 32   94     0.0000     0.1789
 33   95     0.0000    38.5020
 34  102     0.0000    15.2715
 35  109   175.8160    -3.9352
 36  110     0.0000    91.1710
 37  114   144.7773     5.5020
 38  119    31.6575   -86.7238
 39  119     0.0000     0.0000
 40  123     0.0000     9.6317
 41  125     0.0000    34.4515
 42  132     0.0000     0.0000
 43  133    60.6900    16.0406
 44  135     0.0000     0.0000
 45  138    10.4700   -12.4800
 46  142     0.0000     0.0000
 47  144     0.0000     0.0000
 48  152     0.0000     8.1008
 49  153     0.0000    22.4691
 50  153     0.0000    31.4243
 51  153     0.0000     0.0000
 52  157     0.0000     0.0000
 53  159     0.0000     0.0000
 54  160     0.0000     0.0000
 55  167     0.0000     0.0000
 56  168     0.0000     0.0000
 57  172     0.0000   -53.5415
 58  178     0.0000    -6.0453
 59  180     0.0000     0.0000
 60  183   205.0000   138.7500
 61  184     0.0000     0.0000
 62  184     0.0000     0.0000
 63  184   100.0000    27.3827
 64  185    90.0000   127.4236
 65  186     0.0000     0.0000
 66  186    90.0000    -8.5319
 67  187   607.8600    72.2900
 68  199    90.0000    37.4395
 69  205    61.7235    87.4385
 70  205     0.0000     0.0000
 71  206     0.0000     0.0000
 72  210     2.5000     3.9516
 73  222     0.0000    23.2087
 74  222     0.0000     0.0000
 75  226     0.0000     8.0775
 76  227    50.0000     2.6737
 77  230     0.0000    24.8070
 78  237     0.0000     0.0000
 79  237     0.0000     0.0000
 80  248     0.0000     0.0000
 81  271    16.5600     5.0236
 82  275    89.8400    27.4900
 83  278     9.7500     2.0324
 84  280     0.0000     0.0000
 85  280     0.0000     0.0000
 86  281    19.3000    -8.5500
 87  296   640.7857    12.3708
 88  296   343.1400    12.3708
 89  309     0.0000     0.0000
 90  309     0.0000     0.0000
 91  315     0.0000     0.0000
 92  315     0.0000     0.0000
 93  326    22.0000    15.7696
 94  352     0.0000     0.0000
 95  352     0.0000     0.0000
 96  353     0.0000     0.0000
 97  355     0.0000     0.0000
 98  355     0.0000     0.0000
 99  356     0.0000     0.0000
100  359     0.0000     0.0000
101  359     0.0000     0.0000
102  361    22.0867   -93.5761
103  361     4.7500    43.1894
104  361     0.0000     0.0000
105  362    64.8300    -7.3700
106  364     0.0000     0.0000
107  364     0.0000     0.0000
108  365     0.0000     0.0000
109  365     5.1300    -1.5200
110  366   131.2700   -26.6900
111  368    60.1700    55.6427
112  369     0.0000     0.0000
113  369     0.0000     0.0000
114  371     0.0000     0.0000
115  371     0.0000     0.0000
116  375     0.0000     0.0000
117  382     0.0000     0.0000
118  385    26.8900     3.7164
119  388     0.0000     0.0000
120  388     0.0000     0.0000
121  390   465.1400   -18.8390
122  395   214.4100   -34.7200
123  398     0.0000     0.0000
124  398     0.0000     0.0000
125  400     0.0000     0.0000
126  401     0.0000     0.0000
127  407     0.0000     0.0000
128  411   286.0000   -17.1607
129  414   431.1700   -53.1500
130  422    35.6900    18.4800
131  423    77.3282    65.9612
132  424    70.0000    54.3888
133  424     0.0000     0.0000
134  440    32.0000    39.8127
135  441     0.0000     0.0000
136  445     0.0000     0.0000
137  455     0.0000     0.0000
138  455     0.0000     0.0000
139  455    10.0000    21.2383
140  455    25.0000    21.9629
141  457     0.0000     0.0000
142  458     0.0000     0.0000
143  475   120.0000    27.1862
144  475   120.0000    27.1862
145  476   254.9900    35.5847
146  476     0.0000     0.0000
147  480     0.0000     0.0000
148  483     0.0000     0.0000
149  514     2.6400   -72.9265
150  545     0.0000     0.0000
151  545     0.0000     0.0000
152  545   240.0000   190.0000
153  546   240.0000    51.8784
154  546   240.0000    53.1126
