# Wes Sander, MoltFire
pglib_opf_case60_c: AC-OPF objective 92693.590668 $/h (verified feasible at 1e-06 pu)

gen  bus  Pg[MW]  Qg[MVAr]
  0   38   698.6016  -290.6419
  1   39     9.9999    18.2839
  2   40   178.5241   -12.2585
  3   41     9.9999    -5.0928
  4   42   475.0001    -1.9558
  5   43     9.9999    82.2680
  6   44   380.0001    17.8144
  7   45     9.9999   -45.9316
  8   46   900.0001   435.8896
  9   47   670.1564   436.9101
 10   48     9.9999   -91.2718
 11   49   575.0001   127.2908
 12   50    -0.0001  -269.8482
 13   51   630.0001   -69.2651
 14   52     9.9999    14.1549
 15   53   540.0001    44.2305
 16   54   630.0001    -3.5837
 17   55     9.9999   -88.9686
 18   56   540.0001   -66.5643
 19   57     9.9999    99.0008
 20   58   540.0001   129.8435
 21   59     9.9999   129.7114
 22   60  2292.0785   352.7775

bus  Vm[pu]  Va[deg]
   1  1.10000   38.2697
   2  1.10000   41.8673
   3  1.09333   39.7881
   4  1.10000   28.7124
   5  1.08453   -9.1733
   6  1.07115  -13.4047
   7  1.08475   -4.8474
   8  1.09420   -3.6538
   9  1.09913   -5.8537
  10  1.10000   11.6303
  11  1.04572    7.6513
  12  1.03230   39.4100
  13  1.03739   41.7451
  14  1.10000    2.3180
  15  1.09341    2.7752
  16  1.08856   -1.7257
  17  1.08177   -2.4347
  18  1.08800   -0.1206
  19  1.06189   -3.1164
  20  1.07198   -4.8457
  21  1.08259   -3.1753
  22  1.07750   -3.4461
  23  1.01467   40.4014
  24  1.09674   41.9185
  25  1.10000   29.1962
  26  1.01622   38.6866
  27  1.05842   15.9182
  28  1.03156   27.5515
  29  1.07855   10.3007
  30  1.06435   -4.8978
  31  1.06274   13.2688
  32  1.09600   -7.1186
  33  1.09600   -7.1186
  34  1.08671   -1.7462
  35  1.08516   -8.6002
  36  1.09781   -1.8797
  37  1.10000   -4.3400
  38  1.04039   48.4396
  39  1.09749   39.9075
  40  1.09378   43.7460
  41  1.09884   29.3147
  42  1.06591   42.7802
  43  1.09921  -13.2222
  44  1.06370    9.4527
  45  1.03791    7.7445
  46  1.06949   45.8220
  47  1.08362   46.9636
  48  1.01337   16.1853
  49  1.08846   25.5691
  50  1.01103    2.3180
  51  1.07230    9.3871
  52  1.09124    0.0000
  53  1.09107    6.4094
  54  1.05340    3.8155
  55  1.04362   -3.0057
  56  1.05936    3.5849
  57  1.10000   -3.3252
  58  1.10000    3.0941
  59  1.06871   39.5658
  60  1.04606   45.7820
